"","Sample_1","Sample_5","Sample_6","Sample_8","Sample_9","Sample_10","Sample_11","Sample_17","Sample_13","Sample_20","Sample_23","Sample_2","Sample_3","Sample_4","Sample_7","Sample_12","Sample_14","Sample_15","Sample_16","Sample_18","Sample_19","Sample_21","Sample_22","Sample_24","Sample_25","Sample_26","Sample_27","Sample_28"
"P48651",16490,22108,30191,29904,56488,66289,51317,24680,37548.362554354,29074,21720,59578,61869,33006,33840,51279,98560,50380,39920,114270,33114,36824,43616,24266.4534409181,77071,43933,72740,35431
"P48681",127660,124370,135760,124650,99480,44170,185760,103230,218310,94459,181540,101750,50946,84537,79039,151290,83729,63311,51865,75573.1486861121,101180,113150,82324,119880,86828,91503,64066,114630
"P48729",212090,111830,54002,139640,94518,127350,105098.013947721,103590,124021.707261932,116930,88999,86108,96080,96291,118430,36016,132290,117560,89079,115260,120960,95899,63635,85197.9905753651,98220,138650,162300,96355
"P48735",659280,595960,398610,689710,565070,486510,373850,881000,444620,401070,390780,587510,699210,816520,809050,355800,1347700,618130,944150,240190,769320,510510,3669900,845160,466750,534250,736460,525990
"P48739",70301,62377,67592,58450,58330,55071,52281,86059,79065,63173,58333,58769,81613,78681,79776,77157,60911,55915,107360,56340,91346,61679,76472,51748,59515,64009,66486,64157.1053117686
"P48960",24725.8137009535,19099,24348,14772,55097,28514,23748,15959,29987.2556241765,18892,24708,28611,21734,43977,27816,32928,43592,13010,31137.6643387885,47549,21916,26232.6717984266,23642,19694.2824047759,22788,22444,66177,30139.7070680104
"P49006",145430,149590,195950,222980,286500,124090,208830,217660,196900,101630,217770,240799.681681896,198090,229870,183270,160460,291310,186000,163390,289330,139890,162540,235150,113640,255280,144790,230129.572963025,197570
"P49023",16778.2380310599,17161,15808.4002180335,8376.9,18951.0134018536,10177,15035.7389989583,11076,21115.8958487504,22203,19614,11910,18102,15406,15804,19678,18816.0071646139,15489.5892256376,11384,22966.4019732776,16285.3922861079,15111,13908,18041.927230208,16066.6780252549,17124,20669,19489
"P49189",180170,220920,206360,170360,170240,280240,181970,204130,199320,213540,198940,165770,178140,216680,236810,176270,161110,219050,201490,148660,197150,155120,208500,231510,215260,197430,131070,293250
"P49207",249690,220920,415570,433910,630810,345480,446400,433020,394750,312160,327660,447830,421440,402880,464930,471900,510300,312050,405840,550540,399930,374090,502080,286050,533650,446860,380170,509210
"P49257",315740,306430,439910,406770,476400,339100,589070,368750,408850,230810,522690,531800,287700,634190,568090,453270,628400,252340,412880,750040,331790,383020,598070,283100,423300,484510,411020,464060
"P49327",131970,291950,201090,480240,309400,65654,884440,300620,303800,333990,384260,463710,556900,224390,339250,233400,597240,278970,329070,525770,197110,264980,183320,184940,241370,441700,414080,326280
"P49368",344000,335940,333670,575280,403690,292670,309730,472920,384610,338220,336390,458680,404880,323580,349590,387920,513410,397660,385590,643960,407550,289420,365560,312480,402770,400970,455740,399400
"P49406",55230.3059425523,54747,59876,65223,108110,66002.5023234146,49875.6140273902,117900,49617,74473,54143,50424,68349,64668.9042989225,77156,62418.1770997546,67527,59870,89499,58582,63133.8407494324,65018,68228,46478.8093227291,66411.9330961696,71545,57527,48599
"P49407",31014,37003,37361,32619,41201,61032,40381.1500159501,37299,36866,57706,26127,19433,39832,39252,54147,25831,22917,42260,38007,14090,37297,33429,56170,53570,27045,44257,50957,57974
"P49411",596210,562420,619400,415000,869400,1000300,472880,771520,518810,549700,371260,474100,781140,803910,665610,432190,549620,547960,800820,872810,663450,640880,988360,459000,508460,612780,573280,530000
"P49419",152370,164780,174800,164670,100950,169500,117410,162500,111750,114150,117810,165660,126890,185020,150980,88359,131930,152430,222500,129070,143870,91707,215970,108370,122920,168290,57718,71962
"P49458",347270,307940,397930,765070,504650,539630,323070,510150,238980,315520,301950,491790,613140,426320,357110,482160,711500,573620,492190,330800,306810,378750,439920,203860,288650,292670,429910,273620
"P49585",129100,117400,111040,96887,93237,135860,91761,172860,106603.157239047,85438,101140,147230,154370,153580,154600,135790,101170,155370,189940,113730,134250,152460,169290,89618,67137,65591,196890,116962.005855249
"P49588",75516,97181,87497,88847,72995,66797,88843,89912,106450,98505,76444,159600,54186,88236,88145,102500,83354,106650,139790,127840,93955,83061,93906,68983,113760,107100,112020,177540
"P49589",113900,85677,118130,106860,128970,102700,111710,123530,161710,104880,91776,127720,84016,113370,135830,125560,175650,119830,154520,134210,127980,104460,160750,110810,135840,153490,166940,167110
"P49591",73293,96050,92700,83306,81217,68986,87883,143530,103150,86329,83367,103080,55140,106410,100780,92509,128990,118520,89308,95646,93309,70859,112940,85984,106610,84840,126330,87763
"P49593",69425,60417,57899,56416,60889.284608755,55998.095221019,52379,53369,82166,60460,95532,49576,54236.7351745674,84398,51089,69473,42674.0808132602,40845,58181,48010.7107129498,41520,58170.7530159367,48648,43758.9712563158,59099.3254591748,62273,51009,58475.777622441
"P49711",12877,11643,14196,14847,20784.6505099495,20141,8196,13400,22792.5690183491,12187,17828.8758936764,22105,18017,21115,19348.8630554366,14706,31278,17479,17262,22979.8536426886,12752,11505,15593,17701.6947059843,16747.1883703528,14932,23099,21561.7364105301
"P49720",202280,197980,251190,373960,309820,349180,293560,315280,325730,222780,198890,284680,238410,322190,353780,266400,293170,332610,284050,413190,425160,171960,343770,254520,407590,316730,469290,225230
"P49721",257440,255840,258530,292000,240860,205450,164250,306940,309660,251060,240330,263610,239400,245550,303160,276510,245240,312420,298110,365040,281180,225120,264620,217850,328380,337610,387440,269810
"P49736",6953.6,16672,16068,114840,38720,35500.3814755633,5234.7,90286,17487,9051.8,8211.2,199320,47521,8623.4,22338,37388,274450,49568,23725,166880,33669,5319.8,9260.3,23479.2026210726,41390,41908,112300,54817
"P49748",260210,219920,306410,189290,226820,227390,239240,285450,261130,283080,186200,179380,277560,280630,361890,235550,298150,202220,244500,408820,329690,367330,806860,242890,246480,216220,220370,161030
"P49750",40401,44490,32653,53532,46627,29734.3727783258,30649,32801,34295.9088273478,23803,28496.8480557188,43100,40709,34481.9347511875,34016,33352,43521,42602,34519,32613.4354376855,30724.3527353751,25338,33378,23953.9552691686,39229.9549224569,33706.1095780581,32692,39501.5632925502
"P49755",242990,293940,322880,315990,349130,297600,301300,371080,118720,242390,314820,427870,393360,415020,459770,318540,442740,303890,432670,445820,293980,328140,445000,203660,241850,305660,267200,171730
"P49756",30735,36997,40611,49296,51739,36384,36833,58091,39569,36406,29286,55552,48760,33552,41177,50302,67067,43415,44658,51142,33738,33105,34513,19554,45185,44369,51205,44485
"P49757",34805,29488,25149,18833,22690,31426,25449.7547981328,46459,28588.0442366973,24843,23091.4125920634,22381,22573,29706,28754,21394,23750,25274,33807,26910.1136001066,25460,19796,14133,16791.530512196,24371.7788400033,18364,36282,25508.2001747506
"P49773",438650,363930,392630,363070,334910,289590,223660,409240,420090,353510,262590,313140,297980,324410,391910,280540,229950,247200,382350,223500,391350,318560,330480,430300,354300,361960,354810,359210
"P49790",76455,39865,62442,64257,97751,66828,88646,94186,93004,64131,66492,83246,53935,56387,50143,105390,84012,91426,78590,41182,75549.6060062215,61922,49549,56803.9410404989,139460,252350,115850,62299
"P49792",51273,49648,60275,70406,92172,55970,46441,98152,70297,51407,40359,98963,75973,50329,43003,65356,190110,77488,70406,62087,43047,80273,63145,38024.3029195226,95557,76859,96340,74628
"P49821",124470,115500,123790,94111,128760,115840,106410,115540,100370,103800,96103,83340,121490,140930,142250,96145,85333,104940,122260,84118,159270,103970,247570,152590,73337,90062,99348,102290
"P49840",27457.4813193049,39671,17533,26206,21339,20246.5821140508,16919,14574,23648,31500,23167.3621429597,29408,13830,29744.0107001681,14721,22241,25827,34297,19629,24509.137632093,22956.0323258397,23764.9005940805,23549,18520.2744532505,26487.8502106355,24584,44941,21666
"P49902",26580,13984,35813,66223,45568,25834,27555,48529,47912,47003,32909,53738,26890,32508,33225,37804,61970,40647,35704,56062,26793,48457,36690,27289.4018427742,69527,54564,60858,55884
"P49903",70769,121360,140970,64836,144310,117570,109480,109490,462860,214770,159600,84396,57305,90662,119830,139320,77367,94303,66472,69180.8631864633,165850,111160,49676,499960,204820,147980,83015,335920
"P49913",2790.5,30015,64800,100900,140340,115692.88496483,188140,75776,57213,116025.656724813,318930,21239,23197,233080,184190,494580,249040,21524,46348,732890,107780,103310.873660964,97878,6364.5,241650,34420,10318,18941
"P49915",73192,53053,76393,146180,81689,60602,58217,111010,39069,64821,26405,143140,112380,71416,74982,101290,275000,117370,165640,209460,98938,67867,79501,37557,100290,78575,109640,75644
"P49916",14513,17873,25307,74925,85797,29453.6749847422,24473,30699,30686.8802306534,29481.9632081973,25536.0633297032,60936,71672,25326,30808.003613967,12047,37535,25332,20033,26017,12981,19907,16752,22849.7009090723,75700,36080,39521,33373
"P49959",86834,80152,111770,74904,130660,68636,84056,111340,118840,77781,78614,103660,94272,78373,78039,96048,202870,73527,102210,127250,83664,104750,74636,43338,155700,99395,99006,89154
"P49961",180540,171180,183970,122380,140660,208100,83160,80101,148710,157900,188870,94489,49022,191810,71819,88528,33796,157720,92086,67995.0137648152,158940,195130,69421,282630,122654.833591714,136410,79466,62556
"P50148",113020,98512,123290,56767,90741,119970,83872,40509,105870,119540,88486,74580,97126,89244,74788,76000,54791,68669,75094,73818,57605,116280,82076,78623,94631,78973,84920,73158
"P50213",178610,171420,194070,191030,215600,418890,185730,192630,193810,199280,136280,238180,412410,197890,263280,163800,157840,205300,299000,220330,206920,237100,283450,166390,215960,168590,202800,193970
"P50238",118930,217640,93174,70816,65797,451910,127920,150100,99415,61795,139410,96313,80419,240800,80101,146940,62947,177570,128215.115278572,162680,211370,111720,118430,140210,121646.15203235,152540,64782,105126.966723731
"P50395",517500,622500,570640,602210,558260,501670,540750,466930,590280,568050,495770,521370,511610,503720,563790,514430,257350,487150,480900,483710,545050,434640,522660,553030,613580,495590,734770,688230
"P50402",144540,140130,182630,108070,179720,168140,159130,132900,199410,171750,142310,138410,150700,123720,112280,154870,107130,155470,94738,162910,148140,196780,117210,88616,115400,107350,128190,112910
"P50416",80309,78900,117100,49525,110120,126350,20326,88301,132860,53757,40378,49986,214080,79473,120290,69917,95981,169270,130840,496190,100590,63999,133500,62284,76804,80172,147390,98427
"P50440",203230,693750,133700,109663.554616327,43691,21066,77105.6559934586,18770,17807,66459,14439,121540.45637511,159714.868169993,61138,57469,19977,10403,135130,414840,122566.302947241,53132,19904,70918,98512,142084.559531508,20437,55845,94108
"P50452",18856,16243,21117,13082,38962,22668,18052,13839,30928.0545257287,19946,24893,20305,27940.3577967565,24677,19567,48641,26831,14289,25687.8849170861,19614,26635,30893,25025,20004.5686101496,44064,36573,21725,19747
"P50453",149130,137170,175640,153800,105160,106460,147250,107100,148500,264970,152800,212910,174870,226470,182070,106990,172500,171070,185810,64727,118210,128770,109760,142060,235570,189720,205710,195270
"P50454",599420,680710,673860,1225400,678350,444840,2551500,1015400,899770,613640,1787500,1681900,1409200,718110,634770,2353100,823090,917620,1007200,1332900,917240,1485200,658180,467040,1216400,711920,1477400,911710
"P50479",140370,124340,170740,146610,126150,84904,120850,50504,183330,219130,116150,74127,62815,105870,119600,91119,43484,164380,95085,52153.0369428515,171730,238460,67516,221000,98719,180850,61805,123350
"P50502",244530,307250,296570,486960,252790,214920,211770,328650,297710,241480,245500,338530,259380,299370,242100,219290,341750,355850,280880,233210,308880,169050,275110,351040,354180,242150,176050,256260
"P50552",123020,129030,155810,124930,148670,127000,110650,106360,162710,145490,146400,116990,87081,171170,138620,133230,72790,143100,120210,381270,181540,123820,125590,129810,106940,126160,168730,207530
"P50570",126070,137780,103980,86007,170450,151520,117820,101090,125820,105570,113390,118580,192630,150780,139270,114940,101900,102380,113750,108770,105110,102040,146540,105350,124130,104890,222440,149230
"P50579",351050,387210,563400,834480,613140,519150,717310,530770,443130,501070,493360,609540,481730,477970,499270,583240,193040,674260,584200,410370,608260,494180,477420,382750,282710,506630,1028000,542250
"P50851",30720,40045,32354,41223,45365,22853,20788,33041,29574,23007,15812,27734,25720,42080,41989,23642,133980,34297,50992,69834,38620,14880,51780,16947,69275,35837,47361,35120
"P50895",52027,104530,54443,54535,23138,54834,32120,21147,54418,86452,150480,250230,17773,29997,15347,35250,8663.8,89618,18736,7965,36138,69037,18947,85293,39493,47607,14219,64192
"P50897",111510,182090,181770,136070,135500,159270,206310,148660,171790.339277798,154080,105930,365940,215230,183740,149790,187550,356990,216860,293560,239000,151592.885441236,122970,276420,112656.160707501,108030,180130,195870,183530
"P50914",420570,390960,528990,880940,642060,538280,499660,656650,440380,468580,488910,698210,584970,535190,585440,598770,807080,539580,626920,769390,572110,504180,661400,378980,478430,584430,596400,384700
"P50990",368290,382510,354820,620360,433800,323540,334770,469890,389440,352640,330010,523510,459380,365440,382390,397340,554810,399500,417120,678230,431370,292720,402380,363040,440210,434840,516480,439490
"P50991",267090,285560,251920,496350,304860,242820,178020,408990,269560,300290,233410,409100,304160,250870,296490,319090,441330,342480,313380,541350,326570,223450,312050,252360,364760,331440,390930,286310
"P50995",454950,399160,451260,340760,474720,409410,362370,374730,435140,454940,411470,318710,377270,479530,335700,370530,332030,406370,338200,428700,364180,364160,412360,385600,323000,430160,396490,390150
"P51114",113540,130890,131680,242950,159080,171900,131830,164350,174780,138250,124450,154020,129410,117770,131770,153500,350790,282790,199140,328200,125540,248630,82491,192860,266840,242060,146620,215110
"P51148",485570,408120,478190,385980,520720,377430,440910,391810,504660,402470,422400,379750,474320,434230,409410,474590,384520,362750,475520,313350,402430,445320,459620,343450,461510,424750,367260,513740
"P51149",436390,465590,540370,331680,504750,423680,449480,424890,508110,490800,421190,458050,497620,460040,392110,495740,494630,533220,364990,449950,388070,465620,518320,382290,474410,418110,435890,499390
"P51153",53181.8334140349,37698,46742,62580,81591,26968,49565,75748,64773,41322,55116.0048202546,29908,56571.4908606553,64227,53011,81407,51384,68025,58597,60348,68724,92653,63304,43014.3250505611,35612,56995.2866747344,62400,40637
"P51159",46653,85780,71718,63591,119690,42650,110470,95231,57150,56274,145910,41789,45682,192980,108680,107910,91426,78902,106890,107650,99191,46008,129890,67491,66440,51745,28218,93994
"P51452",241750,190990,210200,143910,147860,189010,157570,155790,331260,257310,168340,75449,88701,144780,204430,170920,97008,182310,143920,78040,319030,265770,131910,377510,122640,174050,85406,337470
"P51532",423460,439260,397040,630440,556320,363610,387070,232820,423570,253870,405410,467250,563780,378200,416230,400690,1400800,343220,320980,494190,279260,489170,407770,1229900,710990,508450,781570,498330
"P51553",19629,20268,22195,24470,30949,85291,12043,26544,33330.1095756075,24003,15314,35021.4269631272,103150,31668,26341,17558,19451,38001,54176,34959.534188366,23245,28148,27157,22282.4451539588,30025,14643,37443,34122.7985763129
"P51570",132650,112740,141450,122570,169800,112160,156630,112380,137840,123230,134760,133580,152020,120380,161180,133520,118240,123400,138470,300080,101510,146570,122020,97913,166190,145710,97684,175720
"P51571",326420,310560,471080,497730,513140,476400,577280,454790,461600,308850,475000,754360,436200,597390,544050,593170,766100,510790,737740,467260,354490,437980,724810,309360,383850,438140,736340,460470
"P51572",142410,250830,147960,196570,203890,154430,172470,148850,239490,177350,150350,241410,290190,140830,142000,172300,238750,172830,185430,217500,125610,153270,221480,107900,188910,133330,76653,198910
"P51606",71424,265970,81889,96489,46885,75874,50447,31883,80053,64754,48105,51771,46039,84405,54857,49239,62542,128240,42594,106237.305951742,42770,36089,64053,67302.7488330666,79305,54074,66739,131480
"P51608",122930,166870,223160,57694,169590,160270,117430,70318,143720,285760,142930,70258,81532,170550,110870,141460,47520,107920,90878,23789,129430,196060,172950,83149,153100,100450,59213,95970
"P51610",58432,70345,70695,82461,88472,69420,54655,61795,87419,70879,56303,78034,68999,67307,64337,68092,103220,72154,42982,37782,58036,66196,60088,27600,82606,79498,105350,51635
"P51636",69046,81628,76538,62438,21864,55473,72388,51247,59954,110010,108840,34341,37337,70551,50862,68323,27718.6797491926,83612,30743,27033.6701527428,90768,99446,30871,88419,25408,46639,20593,44890.5170796102
"P51648",181450,224610,108650,97441,182440,143520,138250,175230,112180,123130,181660,162010,134130,125710,160550,109480,127170,145730,184890,86368,123090,100800,172670,176310,280700,158190,101170,150550
"P51649",23225,23994,34085,21319,19273,100430,31811.9446409592,47746,41698.7219758643,45908,29775.1397125403,20864,145900,17128,52952,29156.6135300034,22294,21451,82663,62172.245227686,46793.2632887075,24701,47587,26879,44615,22824,32055,35725.6857493174
"P51659",122130,115650,143350,126440,244070,161670,170660,198530,151880,149790,126060,187480,341150,155920,247300,207940,99840,199290,310660,501400,196160,132160,178920,118910,334400,162960,134450,260800
"P51665",126020,106920,100210,178400,104800,99287,130100,164760,87480,102170,100120,152530,156510,149720,155370,119550,185200,150820,171950,224000,127010,127280,124180,69977,74748,119260,188310,58050
"P51688",68861,48472,70278,38348.5218269618,48900,33658,50081,48128,75437,38961,48544,24090,71753,69164,48086.1072919754,67588,31400,50431.6554888202,54613,36814,45654,55211,70725,44381.9573351199,56827.0726358128,49204.8932206701,44442,50512
"P51812",38990,38467,29715,22046,31715,46127,23596,72871,37315,35690,30506,37624,52950,46930,38963,31377,23694,40707,30201,22900,28455,20281,42718,28354,41126,31242,31425,57066
"P51858",171960,191540,242490,327930,231110,328850,165330,253400,123260,256600,190300,256970,192160,228310,222710,208780,400570,328580,339520,170660,219190,326010,208270,136600,206370,346800,344730,208130
"P51884",2111600,2681200,3193100,340530,759990,948570,2228500,888230,2573600,1284500,2005400,1456300,975190,1388600,695320,801310,285750,867160,465980,125660,1085200,1725600,675200,4120400,1378000,672120,561200,1379500
"P51888",974650,1045700,1935100,143500,261810,428060,538370,174960,1270700,697490,733720,1289300,707200,821470,350840,209850,98748,359120,140080,28236,342400,741600,253980,1552200,504600,297710,373310,699000
"P51911",9676200,4213400,5010900,2039400,2009200,3446700,3363000,2493300,7372700,8150600,4529600,358100,538140,2538400,6449300,2841100,28353,3372900,2328000,170630,10961000,5129200,2206400,12216000,1621900,2519800,880310,3408400
"P51991",548310,609020,650420,766600,700380,656900,610120,703180,599220,594740,546910,635970,658150,600070,574560,661370,1009900,585140,728610,394780,604420,617030,558140,402570,553980,592200,872570,550720
"P52209",362080,414480,398810,616720,532700,406920,596600,830220,468260,362870,598210,556800,505370,536270,505650,660200,896900,618510,809230,759420,422110,413010,557790,359600,634000,686740,598790,1306200
"P52272",772740,708000,851480,1180300,1156900,908550,804420,1020800,942610,725960,787780,999260,1177700,833380,770420,1052700,1262600,784800,943770,744350,911930,876640,870560,543180,1263300,901730,1212400,914750
"P52294",50408,53718,53829,72172,56572,55649,55148,63597,67864,75187,46498,83339,45890,53394,64183,66490,105160,78524,74391,69209,75438,55343,74643,47116,71521,67878,109060,67240
"P52306",28868.811290475,31099,12397,25634,21903,24653.6903810174,21459,28047.2763711431,28523.056315468,25098,19404,21931,26568.5783210391,28423,28997,19545,34047,23651,17054,25315.8453620961,29682,27337,23135,17844,24787.9198543431,27608,37414,26206.2110304963
"P52434",48676,40726,43590,96366,73567,39203,44971.6900611296,57456,36073,49039,42031.7642541447,71520,103470,52391,67476,59821,118950,50708,83897,77028,45288.8387287389,55332.4955025501,54570,39687.8908210343,69869.3616049958,62470,92625,85456
"P52565",885220,1307700,1470000,1089200,1128000,811940,1112700,945660,1451500,1217900,1032900,1059600,966380,1317600,1107400,1152500,770380,957230,1005900,1243700,995070,1165300,1166600,1295000,1361300,1114700,1080700,1217400
"P52566",141410,211950,249630,135040,210980,169700,201170,149150,291470,312090,242550,212770,133470,383870,242740,323100,194750,153440,170010,251110,163670,152400,264560,143370,407240,151870,163180,431070
"P52594",27084,41933,36039,54190,49006,65779,29168,73625,59100,39999,48563,67281,34045,40225,55570,70590,40789,50602,58106,42018,34820.4763803472,34839.9771205018,53021,29318.8835059887,26822,43616.1221978131,100430,57583
"P52597",282160,299770,274530,400990,348670,279540,138060,426520,214990,240820,185550,307990,482230,289600,272440,307690,518600,262330,325260,270600,276970,238630,246570,206240,182110,228420,560480,372060
"P52630",31244,37068,33495,26800,30070,30462,30545,21987,35616,24955,38357,46142,26107,36905,19522,44875,28928,31587,33659,30025,20625,29394,22590,26749.7961856063,68137,54414,40802,61947
"P52790",41062.1101282992,11342,17182,71095,55393,9287.5,57692,33308,21873,18357,80087,46140,39275,22475,67813,152730,194770,12024,48987,118420,47715,11594,12086,34015.4368087398,86481,14236,72836,237330
"P52815",39618,53856,86132,69568,107660,67890,32359,88550,61586,47990,39641,50331,94486,53575,76810,46775,74604,40384,89203,71690,54262,52228,77474,50602.2145829084,59236,81960,61603,48953
"P52888",23216.9395478264,23001,24273,31247,30053,28207.5350403051,27600,24239,29462.6835723048,14122,23017.583346258,34974,29338,30825,28683.9212626707,37514,44602,24935,32372,35305,51947,28976,26325,18580.1188978366,29157,26193,50893,31621.4088406638
"P52907",476860,492600,459080,445050,393100,449290,467810,536640,477060,503570,518310,561400,382470,671990,525040,516220,516880,608740,490050,450840,432440,424060,541170,363350,404520,409890,577630,534220
"P52943",365510,683810,431940,351570,250340,558350,310600,179090,512480,445460,650560,237280,169050,295530,219870,282560,53663,551510,149450,26767,318770,650650,262560,335260,219900,550300,127880,444610
"P52948",39643,37173,56213,50538,66747,52154,32298,69367,48693,52089,36804,73028,67087,36938,33259,50361,130440,66996,65893,46454,37330,42288,39161,23946.1853723255,46533,74371,76005,43003
"P53004",192480,137240,171540,215230,147890,169060,237170,162710,217250,184890,197960,174910,204240,165670,226040,213520,116190,231080,189710,129920,314050,187710,223620,248240,201950,194830,118960,276300
"P53007",89972,92269,115670,89396,92717,92704,130630,96868,65412,117190,95573,164000,253260,155770,141820,86775,125160,133200,173790,108410,93123,110130,137700,82626,79853,76447,158960,105620
"P53041",65826,130540,96937,99690,77162,32758,52891,91821,99722,89151,63097,108700,58142,78724,66594,61320,64298,111840,64903,65034,60744,72689,89325,57566,68534,78695,120550,98065
"P53367",94634,83786,86695,46489,135590,37390,74108,102940,93013,53569,72840,49741,162980,129480,134660,78345,70496,89299,100980,74366,101390,64180,110680,70533,104780,87225,83479,69457
"P53384",33801.3558047033,44718,32001,26234,43717,23452,35283.9145796219,31203,32650,34483,27970,38894,35190.4624803204,44365,31483.228486787,35749,40760.3077900599,33125,40933,28094,34369,31649.2427764725,38312,24231,32893.8875107995,32656,28769,36932.4012020591
"P53396",80833,88755,88750,132100,156440,59267,217510,121640,131800,109580,133280,154920,128210,104160,145080,205630,128370,107060,119740,145320,81218,109140,104880,27931,233970,137180,197870,181620
"P53582",43223,54063,33483,39935,27581,31573,42117,64458.255359622,37495.8767745607,41863.7858027338,30263.9848737789,47778,132670,41529,37398.3054482907,33728,173390,29936,42629,86579,21110,38034,33058,26680.3453513106,36482,41244,88430,42299.6831840718
"P53597",138150,182670,166020,120080,170910,348690,120460,182980,135820,159360,103670,83471,254050,196460,226300,91572,19717,180150,212910,206250,221370,126860,443200,164270,222220,101860,166030,145010
"P53602",351043.581469951,475100,446380,429750,399640,415010,361481.838502239,272570,385260,480860,377980.604351782,317270,280850,392760,513680,371300,370509.747666655,539100,420860,386594.471541073,399526.551307158,399231.391249182,197770,380137.409010956,599450,498200,422240,410250
"P53618",216170,234570,246080,246490,388930,197420,289910,287660,293370,198070,280980,371910,296060,321250,347170,279410,405230,238630,339110,407580,241190,244590,313710,153570,302040,278130,333050,343190
"P53621",266080,278600,288620,290680,429770,233770,386910,377280,356460,248260,332580,447420,349270,387840,422890,373590,474030,329810,415920,453430,307020,312780,384840,217830,358720,338660,403770,430530
"P53634",207580,229330,194180,206710,210600,174990,194340,235520,261680,142770,171070,174940,227690,313460,155240,250840,188690,150620,165920,164840,197920,105580,244130,114880,119240,162430,163060,288390
"P53680",160640,135340,217300,165470,229440,200070,192620,152080,247020,188320,163350,214300,218500,182340,179650,226670,183990,196510,162020,156180,166810,251270,172260,161060,183260,163470,183340,254250
"P53814",1035800,473670,490940,645850,222780,472270,439220,409930,1074800,916520,479530,34881,45111,288790,893850,461210,4608.6,481680,202740,6159.5,1275600,590270,210620,1500300,190070,614070,84954,604530
"P53990",45381,63714,54912,38250,60782,77127,45353,34576,55971,59667,49236,44889,60511,64093,60433,52179,46750,46840,72882,73022,72952,51907,60940,51543,68271,56313,48676,45050
"P53992",81206,87302,85590,119190,120350,95204,94152,127660,106920,84189,86497,123600,93222,106780,101070,103040,186070,112110,85893,140890,84787,87981,104320,63322,87273,119430,163680,99652
"P53999",391500,722490,777760,504200,618390,329920,474640,541310,609580,625090,496220,843730,382270,688510,566300,609170,452480,1206700,577050,590740,535140,527190,658600,368830,1514100,624240,1247800,888340
"P54136",121110,131010,132370,165910,198350,173610,120780,239710,156970,122360,122780,202710,197780,159230,178490,151230,238520,154680,225860,266940,155860,127540,191900,110590,207020,148700,232790,143940
"P54289",64064,57232,62197,42881.2947464628,39398.3715605124,20228,38948,17754,69754,35103,32906,25153,37733.774902513,33096,34204,35107,8367.2,34003,39717.5033682694,53141.5839904617,108070,23655,11141,108180,30776,47264.7818643972,10568,44429.2105935517
"P54577",129840,191770,271670,261560,217790,173220,205920,348700,186540,194680,217770,362500,137940,214140,206660,253370,512650,239440,317670,333740,250650,184540,344310,143740,316610,212810,379260,231980
"P54578",100590,132380,107870,164830,112250,147490,185640,133840,146690,113260,111490,173830,134900,134880,126570,119880,161830,150950,162430,216370,137780,131750,124070,115780,279820,155570,195920,286990
"P54619",42021,52261,43900,62741,52601,53572,31766,51980,53766.3574712623,37887,29672,67192,70350,63893,75407,45934,77696,68991,92955,31591,66343,43457,66626,43802,43150,33363,72553,36110
"P54652",70955,163460,96544,267060,48926,234860,189960,72116,158300,176130,148460,92323,35450,67934,116320,80069,208970,192670,88308,11517,130800,189240,52374,208710,87275,175110,47003,142990
"P54709",93253,150000,166910,113400,141310,142970,107390,113570,169080,149450,124900,202220,116780,125480,128460,152570,114330,127550,102140,160100,108570,129670,97626,98287.1643935101,226200,167210,208330,166800
"P54727",121390,123180,131390,125380,142740,91979,124310,142760,165640,117820,126070,142410,173960,128220,140860,142290,98805,100980,109680,134380,112460,109220,112180,120710,126090,149430,111850,127060
"P54802",37713,43086,37351,28573,45887,31295,69803,51616,56592,15315,44171,25587,63359,60173,51312,77978,38186,21750,65727,57933,51936,31259,41984,36268.4159855228,71287,37060,25688,51839
"P54819",261380,290940,247270,242790,294900,420880,220030,299240,68566,228920,199820,279600,308640,346090,276480,229380,205390,207180,411980,316480,292120,243780,511390,160960,233390,167630,330780,216110
"P54868",751930,338400,155670,216318.883515531,72569,138500,273200.773844714,270550,110700,115850,24427,22357,113778.110296657,126810,254780,230642.853310098,110051.792531379,135840,123710,419280,601810,18749,368470,1385000,139950,46936,200880,35642
"P54886",87502,70140,47182,149810,125200,132470,106760,234050,117660,108670,69103,174050,226220,78479,219870,123590,334690,128550,132610,367630,123910,79830,159050,68894,151690,125690,216260,87705
"P54920",148410,212510,178510,171400,153630,143310,133910,122790,166920,133090,135050,176170,132810,156590,153640,147350,100390,165050,134440,107430,157190,146480,176350,148410,137570,137490,180410,203810
"P55001",1240600,856910,902290,324070,620920,495160,1356600,315820,370900,789870,960780,836190,304900,979050,196420,403890,257820,711310,369380,70045,465850,813800,141300,957500,1064100,332720,244780,254470
"P55010",53093,76888,67331,110700,72223,72358,47142,93804,74132,63789,66250,82101,158190,63443,68926,68601,32554,68499,75159,90171,63779,51900,62140,47908,92433,89776,99619,83448
"P55011",115160,42807,23871,70368,221450,100810,46401,110280,76470,17076,12635,63740,140920,123760,186470,28167,145850,54045,67250,172300,130020,46395,111500,52834,90289,64627,13306,68624.677156884
"P55036",79083,115170,77888,108440,76554,65600,88156,121610,105820,81694,86067,118490,105620,104730,98705,82505,112040,99716,122370,151020,71014,78157,102310,84653,145920,108490,122880,148190
